month,portal,school,embeds,maps-created,page-views,bytes-out,deleted-created-ratio,rows-loaded-total,rows-loaded-total-lag,rows-accessed-total,rows-accessed-total-lag,rows-loaded-api,rows-loaded-api-lag,rows-loaded-print,rows-accessed-website,rows-loaded-download,rows-accessed-api,rows-accessed-api-lag,rows-loaded-website,rows-accessed-rss,rows-deleted,maps-deleted,filters-created,rows-loaded-widget,rows-accessed-widget,users-created,datasets-created,rows-accessed-download,datasets-deleted,view-loaded,rows-accessed-print,rows-loaded-rss,bytes-in,filters-deleted,rows-created,disk-usage,geocoding-requests,charts-deleted,charts-created,comments,app-token-created,shares
1,data.austintexas.gov,0,10,8,8239,3616518374,0.140699245,2774114,,1852,,69017,,53482,11164,2577366,66,,3878023,1590,554990,2,9,4985,114,13,6,179,3,1011,17,74249,51040632,4,3944513,2055118848,,,,,,
2,data.austintexas.gov,0,13,8,17170,9105790413,0.176921939,4527789,,819,,27575,,75760,17332,4411618,229,,286332,335,1425505,10,32,3658,115,12,33,238,16,1625,17,12836,75539407,29,8057254,3833643008,1041,2,3,2,,
3,data.austintexas.gov,0,34,1,9799,7321710021,0.02183661,8914040,2774114,1430,1852,269520,69017,80405,19685,8530282,160,66,276831,855,23268,1,6,4921,250,15,19,374,11,1949,41,33833,117549570,1,1065550,5033361408,3583,2,3,,1,
4,data.austintexas.gov,0,33,14,6358,9797494581,0.043752979,16911238,4527789,4916,819,5181162,27575,880656,15698,10832666,3964,229,394932,433,345640,13,15,8150,625,16,37,468,25,5482,51,16754,72321526,13,7899805,5083119616,9152,8,8,2,1,2
5,data.austintexas.gov,0,97,26,5706,12109063281,0.515348939,25029195,8914040,1183,1430,2409080,269520,202648,15738,22405101,197,160,261512,302,16086613,22,41,21433,1627,8,113,627,108,1828,57,12366,93041862,34,31214992,5172428800,7870,25,25,,,2
6,data.austintexas.gov,0,136,88,6073,21615725390,0.479994014,12635794,16911238,1629,4916,517267,5181162,762514,24292,11338306,534,3964,367470,390,29862217,88,67,22328,1360,4,193,582,190,2040,123,17707,97655760,63,62213728,5242047457,8380,39,39,,,
7,data.austintexas.gov,0,139,143,5896,38949949096,0.477999687,22528415,25029195,2042,1183,4216120,2409080,1063564,45564,17229385,878,197,429158,432,47159919,142,116,29253,2387,4,314,606,295,2259,126,19346,187400034,110,98660983,5667130337,9128,64,64,3,2,4
8,data.austintexas.gov,0,243,133,24977,43000985017,0.490566036,37027754,12635794,2914,1629,1456839,517267,651720,45458,34908190,1837,534,541486,256,49218200,131,104,46236,3559,15,371,746,306,2966,75,11005,180711617,103,100329408,5671988193,12102,63,63,,1,4
9,data.austintexas.gov,0,610,163,33916,41120030775,0.505011767,29909026,22528415,2909,2042,1415589,4216120,566229,41690,27914581,1432,878,518420,301,50313982,161,184,36996,2155,10,401,1099,351,3493,77,12627,257247553,171,99629326,6056877901,165679,63,67,,,4
10,data.austintexas.gov,0,603,142,8750,46999992851,0.506767926,41307456,37027754,2472,2914,994476,1456839,183950,42323,40113022,1062,1837,589643,356,54583651,141,174,55785,5336,8,352,979,346,3157,75,16008,179417558,171,107709364,5944139597,14079,63,63,2,,5
11,data.austintexas.gov,0,1583,260,23712,48825221207,0.503269424,19005873,29909026,5057,2909,1107462,1415589,305322,46661,17554632,2935,1432,602910,885,56817582,258,163,78418,3201,12,333,1124,327,6285,113,38457,114463520,160,112896948,5994987341,8417,69,70,6,,
12,data.austintexas.gov,0,683,305,13850,1.06E+11,0.511645144,25642627,41307456,3588,2472,1966598,994476,464952,32887,23182881,1470,1062,463142,671,55649917,302,252,46448,2225,8,391,1287,381,3781,160,28196,112458826,249,108766628,6149422925,10788,71,71,2,,
13,data.austintexas.gov,0,849,364,12741,73129306085,0.457090849,30937586,19005873,2566,5057,2646601,1107462,590208,46369,27670296,438,2935,604392,725,44323750,364,221,81150,5842,10,374,1187,370,3609,216,30481,141557591,219,96969235,6030196557,12045,69,69,,1,1
14,data.austintexas.gov,0,1055,271,15367,65433457444,0.538836927,29809802,25642627,2141,3588,754076,1966598,423951,37470,28600153,330,1470,493945,729,41082747,270,207,70968,3348,10,326,932,306,4119,150,31622,114942399,201,76243377,6877945677,9802,55,55,,,
15,data.austintexas.gov,0,1678,306,17721,67379599723,0.479969456,27943369,30937586,1784,2566,930497,2646601,496460,45572,26495283,535,438,589204,493,43633095,303,245,117798,12426,20,332,562,324,5441,194,21129,162378771,238,90908066,6894657357,8406,70,70,,2,10
16,data.austintexas.gov,0,1879,308,17760,54617586472,0.499034241,26967496,29809802,1211,2141,606834,754076,385282,42876,25958791,115,330,590518,384,46377050,304,422,100289,5046,18,414,565,398,5310,147,16589,142758068,416,92933603,7753206039,12404,66,66,,1,11
17,data.austintexas.gov,0,2549,325,18349,52227358010,0.490284861,24873893,27943369,1437,1784,682046,930497,392777,54267,23788799,522,535,642790,245,48018184,316,292,128552,6593,18,355,531,337,6345,139,10271,173932258,289,97939357,7892107232,11949,75,77,,,15
18,data.austintexas.gov,0,6594,235,25325,37851609343,0.512863214,16893386,26967496,5837,1211,1399185,606834,223541,51332,15263810,5169,115,756830,172,39111338,232,321,154620,11911,16,284,417,253,10940,79,6850,189354611,318,76260759,8164532192,9762,57,61,,1,14
